opportunity,customer,service_line,annual_value,stage,probability
Leeds Civic Quarter cleaning,Leeds Civic Quarter BID,Cleaning,310000,Proposal,0.4
Calder Retail Group: 6 new stores,Calder Retail Group,Cleaning,190000,Verbal,0.6
Bradford college campus cleaning,Bradford Skills College,Cleaning,240000,Qualified,0.25
Trafford office park cleaning,Trafford Point Ltd,Cleaning,150000,Proposal,0.3
Kirkgate Medical: 2 new surgeries,Kirkgate Medical Partnership,Cleaning,62000,Verbal,0.7
Pennine Housing: fire door PPM,Pennine Housing Trust,Planned,120000,Proposal,0.5
Holme Logistics: PPM renewal,Holme Logistics,Planned,96000,Negotiation,0.5
Castlefield Hotels: HVAC PPM,Castlefield Hotels,Planned,58000,Qualified,0.3
Irwell Business Park: reactive,Irwell Business Park Ltd,Reactive,44000,Proposal,0.4
Wharfe Valley: summer works,Wharfe Valley Schools Trust,Reactive,38000,Qualified,0.35
