customer,sector,service_lines,revenue_fy2025_26,contract_start,contract_end,notice_months,indexation,sites,cities
Calder Retail Group,Retail,Cleaning,1277000,2022-04-01,2027-03-31,6,None,38,Leeds;Manchester
Pennine Housing Trust,Social housing,Reactive;Planned,512000,2023-10-01,2028-09-30,3,"CPI, annual",112 blocks,Leeds;Bradford
Wharfe Valley Schools Trust,Education,Cleaning;Planned,348000,2024-09-01,2027-08-31,3,"CPI, annual",9,Leeds
Irwell Business Park Ltd,Property,Cleaning;Reactive,226000,2021-01-01,2026-12-31,3,None,4,Manchester
Kirkgate Medical Partnership,Healthcare,Cleaning,171000,2024-04-01,2027-03-31,3,"RPI, annual",6,Leeds
Holme Logistics,Logistics,Reactive;Planned,164000,2023-06-01,2026-05-31,1,None,3,Wakefield
Aire Street Offices LLP,Property,Cleaning,139000,2022-11-01,rolling,1,None,2,Leeds
Castlefield Hotels,Hospitality,Reactive,121000,2025-02-01,2027-01-31,2,None,5,Manchester
Otley Veterinary Group,SME,Cleaning;Reactive,114000,2024-01-01,rolling,1,None,1,Leeds
Bingley Joinery,SME,Cleaning;Reactive,111900,2024-01-01,rolling,1,None,1,Bradford
Headingley Sports Club,SME,Cleaning;Reactive,109700,2024-01-01,rolling,1,None,1,Leeds
Meanwood Garden Centre,SME,Cleaning;Reactive,103300,2024-01-01,rolling,1,None,1,Leeds
Sale Physio Clinic,SME,Cleaning;Reactive,99100,2024-01-01,rolling,1,None,1,Manchester
Chapel Allerton Library Trust,SME,Cleaning,88400,2024-01-01,rolling,1,None,1,Leeds
Salford Quays Studios,SME,Cleaning,83100,2024-01-01,rolling,1,None,1,Manchester
Ilkley Opticians,SME,Cleaning,81000,2024-01-01,rolling,1,None,1,Leeds
Northern Print Co,SME,Cleaning,75600,2024-01-01,rolling,1,None,1,Leeds
Brewery Wharf Dental,SME,Cleaning,67100,2024-01-01,rolling,1,None,1,Leeds
Horsforth Nursery,SME,Cleaning,64900,2024-01-01,rolling,1,None,1,Leeds
Harrogate Wine Rooms,SME,Cleaning,58600,2024-01-01,rolling,1,None,1,Leeds
Roundhay Leisure Centre,SME,Cleaning,53300,2024-01-01,rolling,1,None,1,Leeds
Stockport Tutors Ltd,SME,Cleaning,52200,2024-01-01,rolling,1,None,1,Manchester
