date,customer,city,category,days_to_close
2025-09-16,Calder Retail Group,Leeds,Staff conduct,2
2025-09-23,Castlefield Hotels,Manchester,Staff conduct,3
2025-09-25,Wharfe Valley Schools Trust,Leeds,Missed clean,1
2025-10-09,Wharfe Valley Schools Trust,Leeds,Missed clean,1
2025-10-19,Calder Retail Group,Leeds,Staff conduct,4
2025-10-24,Irwell Business Park Ltd,Manchester,Missed clean,1
2025-11-01,Pennine Housing Trust,Leeds,Key holding,3
2025-11-10,Calder Retail Group,Leeds,Late attendance,4
2025-11-20,Irwell Business Park Ltd,Manchester,Staff conduct,2
2025-12-02,Calder Retail Group,Leeds,Missed clean,4
2025-12-24,Kirkgate Medical Partnership,Leeds,Late attendance,2
2025-12-28,Irwell Business Park Ltd,Manchester,Key holding,4
2026-01-05,Wharfe Valley Schools Trust,Leeds,Key holding,3
2026-01-06,Calder Retail Group,Leeds,Repeat fault,1
2026-01-12,Irwell Business Park Ltd,Manchester,Late attendance,4
2026-02-05,Calder Retail Group,Leeds,Key holding,2
2026-02-08,Aire Street Offices LLP,Leeds,Missed clean,2
2026-02-16,Irwell Business Park Ltd,Manchester,Quality of clean,1
2026-03-10,Calder Retail Group,Leeds,Missed clean,3
2026-03-18,Aire Street Offices LLP,Leeds,Missed clean,4
2026-03-23,Irwell Business Park Ltd,Manchester,Staff conduct,2
2026-04-13,Pennine Housing Trust,Leeds,Key holding,4
2026-04-21,Irwell Business Park Ltd,Manchester,Missed clean,4
2026-04-28,Calder Retail Group,Leeds,Missed clean,4
2026-05-01,Calder Retail Group,Leeds,Missed clean,4
2026-05-02,Calder Retail Group,Manchester,Missed clean,9
2026-05-06,Calder Retail Group,Manchester,Missed clean,10
2026-05-07,Calder Retail Group,Manchester,Quality of clean,4
2026-05-20,Calder Retail Group,Manchester,Missed clean,8
2026-06-03,Calder Retail Group,Manchester,Missed clean,3
2026-06-04,Calder Retail Group,Manchester,Staff conduct,10
2026-06-05,Calder Retail Group,Manchester,Quality of clean,9
2026-06-18,Calder Retail Group,Manchester,Missed clean,5
2026-06-20,Calder Retail Group,Leeds,Late attendance,8
2026-06-20,Calder Retail Group,Manchester,Missed clean,8
2026-07-01,Pennine Housing Trust,Leeds,Repeat fault,11
2026-07-03,Irwell Business Park Ltd,Manchester,Repeat fault,7
2026-07-15,Irwell Business Park Ltd,Manchester,Missed clean,10
2026-07-23,Irwell Business Park Ltd,Manchester,Staff conduct,5
2026-07-24,Irwell Business Park Ltd,Manchester,Missed clean,4
2026-07-27,Irwell Business Park Ltd,Manchester,Late attendance,10
2026-08-12,Irwell Business Park Ltd,Manchester,Missed clean,11
2026-08-18,Irwell Business Park Ltd,Manchester,Staff conduct,6
2026-08-20,Aire Street Offices LLP,Leeds,Staff conduct,6
2026-08-23,Castlefield Hotels,Manchester,Late attendance,4
2026-08-25,Castlefield Hotels,Manchester,Repeat fault,3
