supplier,what,annual_value,renewal_date,auto_renews,notice_days,owner
Fleetline Leasing,Vehicle leases (22 vans),96000,2026-12-01,Yes,90,Operations Director
ChemPro Supplies,Cleaning chemicals and consumables,58400,2026-12-01,Yes,30,Operations Director
TrackWise Telematics,Van tracking,7200,2026-11-30,Yes,60,Nobody named
Yorkshire Workwear,Uniforms and PPE,18600,2027-02-28,No,30,HR Manager
Pennine Waste,Waste collection,9800,2027-04-30,Yes,90,Operations Director
FieldDesk,Job management software,21600,2027-01-31,Yes,60,Operations Director
ServiceBook,Job management software (legacy),8400,2026-10-31,Yes,30,Nobody named
NorthPay Payroll,Payroll bureau,14400,2027-03-31,No,90,Finance Manager
Aire Insurance Brokers,Insurance broking,6000,2027-06-30,No,30,Managing Director
Kirk & Co Accountants,Year-end accounts and tax,16500,2027-05-31,No,60,Finance Manager
Lumen Telecom,Mobiles and office lines,11400,2027-08-31,Yes,30,Finance Manager
SafeSite Training,Health and safety training,7800,2026-12-31,No,30,HR Manager
Manchester Access Platforms,Plant hire,12600,rolling,No,7,Operations Director
BrightSpark Electrical,Electrical subcontractor,61000,rolling,No,30,Operations Director
