tool,purpose,owner,users,monthly_cost,status
FieldDesk,Job scheduling and mobile job sheets,Operations Director,48,1800,In use
ServiceBook,Job scheduling (legacy),Nobody named,12,700,Still paid; Manchester still uses it for 4 contracts
Xero,Accounts,Finance Manager,3,65,In use
NorthPay portal,Payroll,Finance Manager,2,0,Included in bureau fee
Microsoft 365 Business Standard,Mail and documents,Office Manager,31,320,In use
TrackWise,Van tracking,Nobody named,22,600,In use; Fleetline vans also include tracking
Fleetline Connect,Van tracking (included in lease),Operations Director,22,0,Included in lease; not used
BreatheHR,HR records and holidays,HR Manager,64,210,In use
DocuSign,Contract signing,Managing Director,2,70,In use
Canva,Marketing,Office Manager,2,20,In use
Mailchimp,Customer newsletter,Office Manager,1,40,Last campaign March 2025
LinkedIn Sales Navigator,Sales,Business Development Manager,1,80,In use
Dropbox Business,Site photos,Nobody named,5,75,Duplicates OneDrive in Microsoft 365
SafetyCulture,Site audits and checklists,Health and Safety Lead,6,120,In use
ChatGPT (personal accounts),"Writing quotes, emails, method statements",Nobody named,9,0,Staff own accounts; not paid for or managed by the company
Zoom,Video calls,Office Manager,3,45,Duplicates Teams in Microsoft 365
Bank portal,Payments,Finance Manager,1,0,One administrator
Google Workspace (old domain),Mail for an acquired business,Nobody named,4,40,Acquired in 2023; still paid
Survey tool,Customer satisfaction survey,Office Manager,1,25,No survey sent since 2024
Password manager,Shared logins,Office Manager,6,30,Only the office uses it
Website hosting,Company website,Office Manager,1,35,In use
Access control app,Key holding at customer sites,Operations Director,14,90,In use
