month,line,revenue,direct_labour,materials,subcontract,overheads
2025-04,Cleaning contracts,196200,145600.0,11400.0,0,0
2025-04,Reactive maintenance,79500,35000.0,11100.0,6400.0,0
2025-04,Planned maintenance,58400,27400.0,9300.0,5800.0,0
2025-04,Overheads,0,0,0,0,68000
2025-05,Cleaning contracts,195400,146600.0,11300.0,0,0
2025-05,Reactive maintenance,74500,32800.0,10400.0,6000.0,0
2025-05,Planned maintenance,61000,28700.0,9800.0,6100.0,0
2025-05,Overheads,0,0,0,0,68000
2025-06,Cleaning contracts,200900,148700.0,11700.0,0,0
2025-06,Reactive maintenance,81300,35800.0,11400.0,6500.0,0
2025-06,Planned maintenance,59800,28100.0,9600.0,6000.0,0
2025-06,Overheads,0,0,0,0,68000
2025-07,Cleaning contracts,197700,146400.0,11500.0,0,0
2025-07,Reactive maintenance,80100,35200.0,11200.0,6400.0,0
2025-07,Planned maintenance,61400,28900.0,9800.0,6100.0,0
2025-07,Overheads,0,0,0,0,68000
2025-08,Cleaning contracts,199300,148300.0,11600.0,0,0
2025-08,Reactive maintenance,74500,32800.0,10400.0,6000.0,0
2025-08,Planned maintenance,62500,29400.0,10000.0,6200.0,0
2025-08,Overheads,0,0,0,0,68000
2025-09,Cleaning contracts,203500,150600.0,11800.0,0,0
2025-09,Reactive maintenance,86500,38100.0,12100.0,6900.0,0
2025-09,Planned maintenance,62600,29400.0,10000.0,6300.0,0
2025-09,Overheads,0,0,0,0,68000
2025-10,Cleaning contracts,202300,150400.0,11700.0,0,0
2025-10,Reactive maintenance,83300,36700.0,11700.0,6700.0,0
2025-10,Planned maintenance,62800,29500.0,10000.0,6300.0,0
2025-10,Overheads,0,0,0,0,68000
2025-11,Cleaning contracts,203100,152500.0,11800.0,0,0
2025-11,Reactive maintenance,82600,36300.0,11600.0,6600.0,0
2025-11,Planned maintenance,61200,28800.0,9800.0,6100.0,0
2025-11,Overheads,0,0,0,0,68000
2025-12,Cleaning contracts,204300,151900.0,11800.0,0,0
2025-12,Reactive maintenance,73800,32500.0,10300.0,5900.0,0
2025-12,Planned maintenance,62600,29400.0,10000.0,6300.0,0
2025-12,Overheads,0,0,0,0,68000
2026-01,Cleaning contracts,206300,153700.0,12000.0,0,0
2026-01,Reactive maintenance,79900,35200.0,11200.0,6400.0,0
2026-01,Planned maintenance,59200,27800.0,9500.0,5900.0,0
2026-01,Overheads,0,0,0,0,68000
2026-02,Cleaning contracts,210900,156400.0,12200.0,0,0
2026-02,Reactive maintenance,82400,36300.0,11500.0,6600.0,0
2026-02,Planned maintenance,60500,28400.0,9700.0,6000.0,0
2026-02,Overheads,0,0,0,0,68000
2026-03,Cleaning contracts,212400,157800.0,12300.0,0,0
2026-03,Reactive maintenance,74700,32900.0,10500.0,6000.0,0
2026-03,Planned maintenance,62800,29500.0,10000.0,6300.0,0
2026-03,Overheads,0,0,0,0,68000
2026-04,Cleaning contracts,213800,166800.0,12400.0,0,0
2026-04,Reactive maintenance,79100,34800.0,11100.0,6300.0,0
2026-04,Planned maintenance,58800,27600.0,9400.0,5900.0,0
2026-04,Overheads,0,0,0,0,70500
2026-05,Cleaning contracts,214900,167100.0,12500.0,0,0
2026-05,Reactive maintenance,82200,36200.0,11500.0,6600.0,0
2026-05,Planned maintenance,58500,27500.0,9400.0,5800.0,0
2026-05,Overheads,0,0,0,0,70500
2026-06,Cleaning contracts,213400,167700.0,12400.0,0,0
2026-06,Reactive maintenance,84100,37000.0,11800.0,6700.0,0
2026-06,Planned maintenance,62400,29300.0,10000.0,6200.0,0
2026-06,Overheads,0,0,0,0,70500
2026-07,Cleaning contracts,216500,169400.0,12600.0,0,0
2026-07,Reactive maintenance,80600,35500.0,11300.0,6400.0,0
2026-07,Planned maintenance,62800,29500.0,10000.0,6300.0,0
2026-07,Overheads,0,0,0,0,70500
2026-08,Cleaning contracts,218000,170800.0,12600.0,0,0
2026-08,Reactive maintenance,77900,34300.0,10900.0,6200.0,0
2026-08,Planned maintenance,60000,28200.0,9600.0,6000.0,0
2026-08,Overheads,0,0,0,0,70500
